Name, Title
Gabriel Hagan,technical
Teddy Echols,Co-Founder & CEO at Colu
Mohammad Khairi Bin Haji Puasa,Marketing Director/Designer
Nanko Nanev,IT Architect Distributed Ledger Technologies
Kartik Mandaville,Marketing Manager
Colm Howard-Lloyd,Cryptoeducator
Juan Damas,Export & Import Credits Specialist / Marketing Supervisor
Amos Meiri,Master Student Computer Science
Matt Corona,Blockchain | Founder | Investor
Florian Maier,Blogger
Martijn Wismeijer,VC at Northzone Ventures
Amadeus Emanu,QA engineer
Recep ALEMDAR,Trader & Mentor at TradeReact
Robin Haveneers,Engineer at Align Technology
Paul Foley,Software Developer
Gift Genius Wokoma,Director of Engineering at Springrole
Wendy Xiao Schadeck,Silicon Valley
Violeta Polikarenko,Director- Business Development at GIPHY
Wilco van Boxtel,FinTech & Blockchain at Capgemini
makrant mohan,Senior Associate @ Runa Capital
José Moreira,VC at OurCrowd
Vinay Agarwal,CEO of Multiple Online Companies- Entrepreneur- Journalist- Editor- Writer- Business Consultant- Bitcoin Investor
Noah Jessop,Director at Originate
Blake Rachowin,Full stack Developer
Florian Wahl,Czoid- CEO
Konstantin Vinogradov,Promo model
Jordan Odinsky,Emerging Technology Strategist
Ed Krassenstein,Co-founder at SDKD
Michael F. Maltese,UX- personalization- software dev | airasia + blockchain tech
Jesse Kramer,Entrepreneur
Chika Obuah,Strategy | Sales | Technology | Investment | Blockchain
Zwelibanzi Khumalo,Investor
Bobby King,Senior Associate at Strategy& (formerly Booz & Company)- Angel Investor
Chris Cassano,Advisor
Petr Duda,Co-Founder at Gizer Inc.
Arbob Mehmood,Software Development
Alan McKendry,Chief Operating Officer at Spot Systems
Simon Dingle,Market Strategy
Josh Arnold,Founder
